Address,Area (m²),Price (R$),Bedrooms,Bathrooms,Parking Spaces,Link,Price (R$) Normalized,Area (m²) Normalized
Avenida dos Holandeses,117.0,1250000.0,3,4,2,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ponta-d-areia-sao-luis-com-garagem-117m2-venda-RS1250000-id-2788904929/?source=ranking%2Crp,0.6099290780141844,0.5508474576271186
Avenida dos Holandeses,142.0,1650000.0,3,4,2,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ponta-d-areia-sao-luis-com-garagem-142m2-venda-RS1650000-id-2778523020/?source=ranking%2Crp,0.8936170212765957,0.7627118644067796
Desconhecido,52.0,390000.0,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-d-areia-sao-luis-com-garagem-52m2-venda-RS390000-id-2683970723/?source=ranking%2Crp,0.0,0.0
Rua das Gardênias,163.0,1800000.0,4,5,3,https://www.vivareal.com.br/imovel/apartamento-4-quartos-ponta-d-areia-sao-luis-com-garagem-163m2-venda-RS1800000-id-2802431125/?source=ranking%2Crp,1.0,0.940677966101695
Avenida dos Holandeses,59.0,550000.0,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-d-areia-sao-luis-com-garagem-59m2-venda-RS550000-id-2698568881/?source=ranking%2Crp,0.11347517730496454,0.059322033898305086
Rua dos Jasmins,72.0,920000.0,2,3,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-d-areia-sao-luis-com-garagem-72m2-venda-RS920000-id-2786065019/?source=ranking%2Crp,0.375886524822695,0.1694915254237288
Rua das Gardênias,140.0,1500000.0,3,4,2,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ponta-d-areia-sao-luis-com-garagem-140m2-venda-RS1500000-id-2782796322/?source=ranking%2Crp,0.7872340425531915,0.7457627118644068
Avenida Maestro João Nunes,67.0,850000.0,2,2,2,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-d-areia-sao-luis-com-garagem-67m2-venda-RS850000-id-2762830636/?source=ranking%2Crp,0.3262411347517731,0.1271186440677966
Desconhecido,109.0,1500000.0,3,3,2,https://www.vivareal.com.br/imovel/apartamento-3-quartos-renascenca-sao-luis-com-garagem-109m2-venda-RS1500000-id-2769606638/?source=ranking%2Crp,0.7872340425531915,0.4830508474576271
Rua Aziz Heluy,90.0,937550.0,3,4,2,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ponta-d-areia-sao-luis-com-garagem-90m2-venda-RS937550-id-2793841594/?source=ranking%2Crp,0.3883333333333333,0.3220338983050847
